guid,name,price,description,calories
124ea5d1-3000-4731-a105-7e188f02c516,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
b82e3cfa-80e4-4515-a6d9-3a1af63a5ea3,Chia Pudding,4.50,"Chia seeds soaked in almond milk, topped with berries",250
b962c248-2113-47d0-abce-07d61b7d2b7a,Eggs Benedict,10.95,Poached eggs on English muffin with ham and hollandaise sauce,700
ede91de0-598a-4da3-bbf7-d497b68ecad6,Chia Pudding,4.50,"Chia seeds soaked in almond milk, topped with berries",250
fd17fdcf-69fa-40f9-a2e9-5dc0231fb5ad,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
80ada405-c971-412f-bdfc-9e9f7656a5b6,Quinoa Bowl,8.00,"Quinoa topped with avocado, cherry tomatoes, and a poached egg",450
eb8c59fd-c838-4ea9-a5fc-ed728b9eb40b,Smoked Salmon Bagel,8.50,"Bagel topped with cream cheese, smoked salmon, and capers",500
e74becd2-14af-411c-8b2a-e51093a89fb8,Quinoa Bowl,8.00,"Quinoa topped with avocado, cherry tomatoes, and a poached egg",450
03157f45-057d-427d-9934-d03500e64477,Chia Pudding,4.50,"Chia seeds soaked in almond milk, topped with berries",250
eb471c49-578b-4396-b41c-60a0628dde7b,Peanut Butter Banana Toast,5.00,Whole grain toast topped with peanut butter and banana slices,400
c488d533-c528-413f-a609-fb3386879967,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
a549ea5e-e252-4dca-b686-8bcba8180fe2,Smoked Salmon Bagel,8.50,"Bagel topped with cream cheese, smoked salmon, and capers",500
df92831f-53eb-4463-a472-ddd9fe194fd2,Quinoa Bowl,8.00,"Quinoa topped with avocado, cherry tomatoes, and a poached egg",450
19ce415f-5fa1-4f1c-821c-b8e9e382394b,Chia Pudding,4.50,"Chia seeds soaked in almond milk, topped with berries",250
01195630-fcf7-4986-a235-2a3f3d85b786,Peanut Butter Banana Toast,5.00,Whole grain toast topped with peanut butter and banana slices,400
db8ce73d-8599-49ba-9f26-5e8be597a300,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
fe16bf73-3847-4836-89db-c691519d9c7c,Eggs Benedict,10.95,Poached eggs on English muffin with ham and hollandaise sauce,700
6a4ffc20-8b9d-43be-ae2d-ab3c00e3fad5,Quinoa Bowl,8.00,"Quinoa topped with avocado, cherry tomatoes, and a poached egg",450
4f25d4bb-b952-4628-899b-31024c48252e,Chia Pudding,4.50,"Chia seeds soaked in almond milk, topped with berries",250
fd80df0e-b6f3-4c8b-b00a-25865ab7f25b,Chia Pudding,4.50,"Chia seeds soaked in almond milk, topped with berries",250
4770db4c-3076-4c5a-8424-10c801c355a3,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
5b526531-c05f-45b5-94aa-19e533ef8044,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
b47823e0-b0ab-49eb-9fb3-3b7b6e89fd73,Eggs Benedict,10.95,Poached eggs on English muffin with ham and hollandaise sauce,700
2fb4f6f3-590a-4611-be63-062469d9521a,Quinoa Bowl,8.00,"Quinoa topped with avocado, cherry tomatoes, and a poached egg",450
22fb3b9f-c03c-420f-9818-f34593e85103,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
15305572-33ba-4f06-896e-80fc1c448674,Peanut Butter Banana Toast,5.00,Whole grain toast topped with peanut butter and banana slices,400
d30d76c4-2b37-4c9f-b496-83569734cba5,Breakfast Burrito,9.50,"A flour tortilla filled with scrambled eggs, cheese, and salsa",800
f6132cc7-8c85-407d-aa35-0e39a8238cd7,Smoked Salmon Bagel,8.50,"Bagel topped with cream cheese, smoked salmon, and capers",500
c3f673b4-41e7-4862-9b2b-f49508feb22d,Granola Bowl,5.50,Homemade granola served with yogurt and honey,600
0b1308c9-bbd4-41e3-885c-5d6587359655,Granola Bowl,5.50,Homemade granola served with yogurt and honey,600
c32596d5-6acc-42fe-9409-6525d639918c,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
7fa53ccb-4415-4e47-a85f-968431429b5a,Avocado Toast,6.50,Whole grain toast topped with smashed avocado and a sprinkle of salt,350
6de7b5a8-f594-41e3-8da7-b24fe9803dca,Avocado Toast,6.50,Whole grain toast topped with smashed avocado and a sprinkle of salt,350
8e869f45-123d-4a7c-9dea-00d740a69b47,Eggs Benedict,10.95,Poached eggs on English muffin with ham and hollandaise sauce,700
c14e91e3-0d65-4e04-8810-01aaa6db5fa9,Breakfast Burrito,9.50,"A flour tortilla filled with scrambled eggs, cheese, and salsa",800
36ddc560-5100-43de-b4b7-3d71588f576f,Breakfast Sandwich,7.50,"Egg, cheese, and sausage on a toasted bagel",600
2327c9f7-1f3c-4b47-9df3-3c998f4398eb,Avocado Toast,6.50,Whole grain toast topped with smashed avocado and a sprinkle of salt,350
58a988d6-233c-4032-87f2-9f22e005ff32,Chia Pudding,4.50,"Chia seeds soaked in almond milk, topped with berries",250
113a0227-93f6-4b5c-94c5-495ab279972f,Peanut Butter Banana Toast,5.00,Whole grain toast topped with peanut butter and banana slices,400
511aa5b6-c593-44c5-a8ba-f79ff40ae504,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
388061cd-afd3-479b-abe2-c1deef8aaf12,French Toast,6.95,"Thick slices of bread dipped in egg and grilled, served with syrup",750
1606bed1-08bc-43d4-95a0-1a82ad8741fd,Quinoa Bowl,8.00,"Quinoa topped with avocado, cherry tomatoes, and a poached egg",450
48fc02ac-d965-4dd7-a756-b178c052908b,Smoked Salmon Bagel,8.50,"Bagel topped with cream cheese, smoked salmon, and capers",500
76835826-1447-4d0c-ae56-259ae6034da9,Granola Bowl,5.50,Homemade granola served with yogurt and honey,600
d639c4cb-48ea-4702-bf0a-b48b19066267,Quinoa Bowl,8.00,"Quinoa topped with avocado, cherry tomatoes, and a poached egg",450
ba3afd69-306f-4742-9b4b-b8c51387fe8d,Breakfast Sandwich,7.50,"Egg, cheese, and sausage on a toasted bagel",600
